titles,authors,images,urls,name,search
,,,https://masp.org.br/acervo/obra/madame-marie-louise-therese-victorie-de-france-a-agua,madame-marie-louise-therese-victorie-de-france-a-agua,madame-marie-louise-therese-victorie-de-france-a-agua site:https://masp.org.br/acervo/
"O duque de Berry e o conde de Provença quando crianças, 1757",François-Hubert Drouais,https://assets.masp.org.br/uploads/collection/HqPcQ595MTrYWFRiaE2FvZ7aN1ZrdRBZ.jpg,https://masp.org.br/acervo/obra/o-duque-de-berry-e-o-conde-de-provenca-quando-criancas,o-duque-de-berry-e-o-conde-de-provenca-quando-criancas,o-duque-de-berry-e-o-conde-de-provenca-quando-criancas site:https://masp.org.br/acervo/
"Elisabeth, Sarah e Edward, filhos de Edward Holden Cruttenden, circa 1763",Joshua Reynolds,https://assets.masp.org.br/uploads/collection/DlMcK28wtbtQ9km3Ne7oyRRz3ftxqD2p.jpg,https://masp.org.br/acervo/obra/elisabeth-sarah-e-edward-filhos-de-edward-holden-cruttenden,elisabeth-sarah-e-edward-filhos-de-edward-holden-cruttenden,elisabeth-sarah-e-edward-filhos-de-edward-holden-cruttenden site:https://masp.org.br/acervo/
"Retrato da senhora John Bolton, circa 1770",Thomas Gainsborough,https://assets.masp.org.br/uploads/collection/tLQa2NLCjkxquLfIdpiFqN6K24eTlIGw.jpg,https://masp.org.br/acervo/obra/retrato-da-senhora-john-bolton,retrato-da-senhora-john-bolton,retrato-da-senhora-john-bolton site:https://masp.org.br/acervo/
"Retrato de um membro da Casa Habsburgo-Lorena, 1760-90",Desconhecido (Pintor austríaco),https://assets.masp.org.br/uploads/collection/ZwBeIYbDI1AyqrkGBoaQPPm1PWIOto1H.jpg,https://masp.org.br/acervo/obra/retrato-de-um-membro-da-casa-habsburgo-lorena,retrato-de-um-membro-da-casa-habsburgo-lorena,retrato-de-um-membro-da-casa-habsburgo-lorena site:https://masp.org.br/acervo/
"Johann Christian Bruch, circa 1771",Desconhecido (Pintor alemão),https://assets.masp.org.br/uploads/collection/SomLg3Bz0AHo4nxCb8gLszTW1gYTxeEx.jpg,https://masp.org.br/acervo/obra/johann-christian-bruch,johann-christian-bruch,johann-christian-bruch site:https://masp.org.br/acervo/
"Retrato de Elisabeth-Sophie-Constance de Lowendahl, condessa de Turpin de Crissé, 1775-85",Jean-Honoré Fragonard,https://assets.masp.org.br/uploads/collection/xoK0v8m5YencZ3da0rjHTjGsKY3Quh68.jpg,https://masp.org.br/acervo/obra/retrato-de-elisabeth-sophie-constance-de-lowendahl-condessa-de-turpin-de-crisse,retrato-de-elisabeth-sophie-constance-de-lowendahl-condessa-de-turpin-de-crisse,retrato-de-elisabeth-sophie-constance-de-lowendahl-condessa-de-turpin-de-crisse site:https://masp.org.br/acervo/
"Retrato de Luís XVI, 1780",Antoine-François Callet,https://assets.masp.org.br/uploads/collection/8xIAPNwb9XwGuNDnECqvmbEB2E009mm0.jpg,https://masp.org.br/acervo/obra/retrato-de-luis-xvi,retrato-de-luis-xvi,retrato-de-luis-xvi site:https://masp.org.br/acervo/
"Francis Rawdon, primeiro marquês de Hastings e segundo conde de Moira, 1783-84",Thomas Gainsborough,https://assets.masp.org.br/uploads/collection/EB8ctT8lblqbDPtaYE52Gw8TqhKPIgD5.jpg,https://masp.org.br/acervo/obra/francis-rawdon-primeiro-marques-de-hastings-e-segundo-conde-de-moira,francis-rawdon-primeiro-marques-de-hastings-e-segundo-conde-de-moira,francis-rawdon-primeiro-marques-de-hastings-e-segundo-conde-de-moira site:https://masp.org.br/acervo/
"Retrato de uma dama com livro junto a uma fonte, circa 1785",Antoine Vestier,https://assets.masp.org.br/uploads/collection/SWV3Mk52Fevd29gOhLRi8hiTKY5CuNBc.jpg,https://masp.org.br/acervo/obra/retrato-de-uma-dama-com-livro-junto-a-uma-fonte,retrato-de-uma-dama-com-livro-junto-a-uma-fonte,retrato-de-uma-dama-com-livro-junto-a-uma-fonte site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/autorretrato-leonor-de-almeida-portugal-de-lorena-e-lencastre,autorretrato-leonor-de-almeida-portugal-de-lorena-e-lencastre,autorretrato-leonor-de-almeida-portugal-de-lorena-e-lencastre site:https://masp.org.br/acervo/
